name,category,description,source,directed,weighted,vertex_type,edge_type,collection,tags,citations,download_url,n_nodes,n_edges,density,max_degree,min_degree,avg_degree,assortativity,n_triangles,avg_triangles,max_triangles,avg_clustering,transitivity,max_kcore,max_clique_lb
08blocks,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",Unknown,False,True,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/08blocks.zip,300,584,0.0130212,38,2,3.0,-0.346146,860,2.0,36,0.659161,0.135732,3,3
1138-bus,misc,"S ADMITTANCE MATRIX 1138 BUS POWER SYSTEM, D.J.TYLAVSKY, JULY 1985.",Unknown,False,True,Unknown,Unknown,misc,"['power network problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/1138_bus.zip,1100,1500,0.00225364,17,1,2.0,-0.0801099,384,0.0,9,0.086615,0.0930683,5,5
12month1,misc,"12 months, 12,646 users from digg.com. Steven Buss",Unknown,False,True,Unknown,Unknown,misc,['undirected bipartite graph'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/12month1.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
130bit,misc,"Quadratic sieve; factoring a 130bit number. D. Priebel, Tenn. Tech Univ",Unknown,False,True,Unknown,Unknown,misc,['combinatorial problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/130bit.zip,584,6100,0.0358972,328,8,20.0,-0.156458,23300,39.0,1900,0.169233,0.072078,13,6
144,misc,DIMACS10 set,Unknown,False,True,Unknown,Unknown,misc,['undirected graph'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/dimacs10/144.zip,144600,1100000,0.000102699,26,4,14.0,0.0506136,6200000,43.0,104,0.422955,0.403592,10,7
145bit,misc,"Quadratic sieve; factoring a 145bit number. D. Priebel, Tenn. Tech Univ",Unknown,False,True,Unknown,Unknown,misc,['combinatorial problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",https://nrvis.com/./download/data/misc/145bit.zip,1000,11300,0.0225543,512,8,22.0,-0.18617,41900,41.0,2700,0.155756,0.0492903,14,7
162bit,misc,"Quadratic sieve; factoring a 162bit number. D. Priebel, Tenn. Tech Univ",Unknown,False,True,Unknown,Unknown,misc,['combinatorial problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/162bit.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
176bit,misc,"Quadratic sieve; factoring a 176bit number. D. Priebel, Tenn. Tech Univ",Unknown,False,True,Unknown,Unknown,misc,['combinatorial problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/176bit.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
192bit,misc,"Quadratic sieve; factoring a 192bit number. D. Priebel, Tenn. Tech Univ",Unknown,False,True,Unknown,Unknown,misc,['combinatorial problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/192bit.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
208bit,misc,"Quadratic sieve; factoring a 208bit number. D. Priebel, Tenn. Tech Univ",Unknown,False,True,Unknown,Unknown,misc,['combinatorial problem'],"['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",http://nrvis.com/./download/data/misc/208bit.zip,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0
