algorithm,dataset,backend,execution_time,memory_used,num_nodes,num_edges,is_directed,is_weighted,category,description,source,vertex_type,edge_type,collection,tags,citations,density,max_degree,min_degree,avg_degree,assortativity,n_triangles,avg_triangles,max_triangles,avg_clustering,transitivity,max_kcore,max_clique_lb
all_pairs_shortest_path_length,08blocks,networkx,0.000591,0.02,300,584,False,True,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",https://nrvis.com/./download/data/misc/08blocks.zip,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0130212,38.0,2.0,3.0,-0.346146,860.0,2.0,36.0,0.659161,0.135732,3.0,3.0
all_pairs_shortest_path_length,08blocks,networkx,0.000591,0.02,300,584,False,True,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",https://nrvis.com/./download/data/misc/08blocks.zip,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0130212,38.0,2.0,3.0,-0.346146,860.0,2.0,36.0,0.659161,0.135732,3.0,3.0
all_pairs_shortest_path_length,08blocks,networkx,0.000646,0.02,300,584,False,True,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",https://nrvis.com/./download/data/misc/08blocks.zip,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0130212,38.0,2.0,3.0,-0.346146,860.0,2.0,36.0,0.659161,0.135732,3.0,3.0
all_pairs_shortest_path_length,08blocks,networkx,0.000646,0.02,300,584,False,True,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",https://nrvis.com/./download/data/misc/08blocks.zip,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0130212,38.0,2.0,3.0,-0.346146,860.0,2.0,36.0,0.659161,0.135732,3.0,3.0
all_pairs_shortest_path_length,08blocks,nx_parallel,0.000039,0.00,300,584,False,True,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",https://nrvis.com/./download/data/misc/08blocks.zip,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0130212,38.0,2.0,3.0,-0.346146,860.0,2.0,36.0,0.659161,0.135732,3.0,3.0
all_pairs_shortest_path_length,08blocks,nx_parallel,0.000039,0.00,300,584,False,True,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",https://nrvis.com/./download/data/misc/08blocks.zip,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0130212,38.0,2.0,3.0,-0.346146,860.0,2.0,36.0,0.659161,0.135732,3.0,3.0
all_pairs_shortest_path_length,08blocks,nx_parallel,0.000048,0.00,300,584,False,True,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",https://nrvis.com/./download/data/misc/08blocks.zip,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0130212,38.0,2.0,3.0,-0.346146,860.0,2.0,36.0,0.659161,0.135732,3.0,3.0
all_pairs_shortest_path_length,08blocks,nx_parallel,0.000048,0.00,300,584,False,True,misc,"Symmetric powers of graphs from Gordon Royle, Univ Western Australia",https://nrvis.com/./download/data/misc/08blocks.zip,Unknown,Unknown,misc,"['combinatorial problem', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0130212,38.0,2.0,3.0,-0.346146,860.0,2.0,36.0,0.659161,0.135732,3.0,3.0
all_pairs_shortest_path_length,erdos_renyi_small,networkx,0.000624,0.02,1000,4959,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,erdos_renyi_small,networkx,0.000624,0.02,1000,4959,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,erdos_renyi_small,networkx,0.000588,0.02,1000,4894,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,erdos_renyi_small,networkx,0.000588,0.02,1000,4894,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,erdos_renyi_small,nx_parallel,0.000041,0.00,1000,4955,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,erdos_renyi_small,nx_parallel,0.000041,0.00,1000,4955,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,erdos_renyi_small,nx_parallel,0.000035,0.00,1000,5074,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,erdos_renyi_small,nx_parallel,0.000035,0.00,1000,5074,False,False,,,,,,,,,,,,,,,,,,,,
all_pairs_shortest_path_length,jazz,networkx,0.000814,0.02,198,2742,False,True,misc,jazz muscicians network,http://nrvis.com/./download/data/misc/jazz.zip,Unknown,Unknown,misc,"['undirected multigraph', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_pairs_shortest_path_length,jazz,networkx,0.000814,0.02,198,2742,False,True,misc,jazz muscicians network,http://nrvis.com/./download/data/misc/jazz.zip,Unknown,Unknown,misc,"['undirected multigraph', 'weighted network']","['@inproceedings{nr,\ntitle={\nThe Network Data Repository with Interactive Graph Analytics and Visualization\n},\nauthor={Ryan A. Rossi and Nesreen K. Ahmed},\nbooktitle={AAAI},\nurl={\nhttps://networkrepository.com\n},\nyear={2015}\n}']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
